"chromosome","position","matched_gene_name"
"chr1",2244599,"WASH7P"
"chr1",2244722,"WASH7P"
"chr1",2249085,"WASH7P"
"chr1",2260994,"WASH7P"
"chr1",2263678,"WASH7P"
"chr1",2267618,"WASH7P"
"chr1",2271335,"WASH7P"
"chr1",2286661,"WASH7P"
"chr1",2289210,"WASH7P"
"chr1",2289783,"WASH7P"
"chr1",2292206,"WASH7P"
"chr1",2292427,"WASH7P"
"chr1",2293397,"WASH7P"
"chr1",2300024,"WASH7P"
"chr1",2300156,"WASH7P"
"chr1",2303193,"WASH7P"
"chr1",2308944,"WASH7P"
"chr1",2329783,"WASH7P"
"chr1",2332449,"WASH7P"
"chr1",2338509,"WASH7P"
"chr1",2338659,"WASH7P"
"chr1",2350287,"WASH7P"
"chr1",2351678,"WASH7P"
"chr1",2352457,"WASH7P"
"chr1",2354291,"WASH7P"
"chr1",2356177,"WASH7P"
"chr1",2357882,"WASH7P"
"chr1",2360913,"WASH7P"
"chr1",2368188,"WASH7P"
"chr1",2370252,"WASH7P"
"chr1",2371472,"WASH7P"
"chr1",2372073,"WASH7P"
"chr1",2375256,"WASH7P"
"chr1",2375533,"WASH7P"
"chr1",2376042,"WASH7P"
"chr1",2377643,"WASH7P"
"chr1",2378754,"WASH7P"
"chr1",2387989,"WASH7P"
"chr1",2389263,"WASH7P"
"chr1",2394570,"WASH7P"
"chr1",2395636,"WASH7P"
"chr1",2428542,"WASH7P"
"chr1",2430581,"WASH7P"
"chr1",2434877,"WASH7P"
"chr1",2441650,"WASH7P"
"chr1",2445294,"WASH7P"
"chr1",2445961,"WASH7P"
"chr1",2446351,"WASH7P"
"chr1",2446607,"WASH7P"
"chr1",2447809,"WASH7P"
"chr1",2472817,"WASH7P"
"chr1",2475448,"WASH7P"
"chr1",2477395,"WASH7P"
"chr1",2492683,"PLCH2"
"chr1",2496273,"PLCH2"
"chr1",2512975,"PANK4"
"chr1",2515441,"PANK4"
"chr1",2518955,"PANK4"
"chr1",2548898,"MACO1"
"chr1",2562891,"TNFRSF14"
"chr1",2571341,"MAN1C1"
"chr1",2573294,"MAN1C1"
"chr1",2575976,"MAN1C1"
"chr1",2581777,""
"chr1",2593476,""
"chr1",2595307,""
"chr1",2607299,""
"chr1",2620461,""
"chr1",2622185,""
"chr1",2624572,""
"chr1",2783104,""
"chr1",2783827,""
"chr1",2792599,""
"chr1",2796762,""
"chr1",2811239,""
"chr1",2817022,""
"chr1",2833151,""
"chr1",2833356,""
"chr1",2837947,""
"chr1",2876236,""
"chr1",2884894,""
"chr1",2889542,""
"chr1",2895249,""
"chr1",2906894,""
"chr1",2908589,""
"chr1",2912986,""
"chr1",2919127,""
"chr1",2925705,""
"chr1",2925754,""
"chr1",2933616,""
"chr1",2935641,""
"chr1",2936142,""
"chr1",2937194,""
"chr1",2943159,""
"chr1",2953348,""
"chr1",2962895,""
"chr1",2963075,""
"chr1",2967293,""
"chr1",2967367,""
"chr1",2969901,""
"chr1",2982396,""
"chr1",2986816,""
"chr1",2989041,""
"chr1",3002586,""
"chr1",3005345,""
"chr1",3008102,""
"chr1",3009815,""
"chr1",3011060,""
"chr1",3011857,""
"chr1",3020748,""
"chr1",3022425,""
"chr1",3026619,""
"chr1",3027963,""
"chr1",3035270,""
"chr1",3057012,""
"chr1",3067399,""
"chr1",3067523,""
"chr1",3068848,""
"chr1",3089567,""
"chr1",3089719,""
"chr1",3103682,""
"chr1",3109148,""
"chr1",3118663,""
"chr1",3137542,""
"chr1",3141097,""
"chr1",3145091,""
"chr1",3145797,""
"chr1",3156128,""
"chr1",3167148,""
"chr1",3169900,""
"chr1",3184789,""
"chr1",3186748,""
"chr1",3210573,""
"chr1",3214671,""
"chr1",3216875,""
"chr1",3217767,""
"chr1",3218611,""
"chr1",3223683,""
"chr1",3223900,""
"chr1",3224897,""
"chr1",3228181,""
"chr1",3230466,""
"chr1",3245645,""
"chr1",3256138,""
"chr1",3260916,""
"chr1",3261547,""
"chr1",3264851,""
"chr1",3268291,""
"chr1",3281183,""
"chr1",3282653,""
"chr1",3282920,""
"chr1",3283070,""
"chr1",3286557,""
"chr1",3286573,""
"chr1",3292266,""
"chr1",3303386,""
"chr1",3305549,""
"chr1",3310624,""
"chr1",3312351,""
"chr1",3312621,""
"chr1",3313980,""
"chr1",3317067,""
"chr1",3319477,""
"chr1",3324571,""
"chr1",3325265,""
"chr1",3332678,""
"chr1",3337792,""
"chr1",3339544,""
"chr1",3342549,""
"chr1",3342619,""
"chr1",3342805,""
"chr1",3345361,""
"chr1",3353264,""
"chr1",3356499,""
"chr1",3358585,""
"chr1",3359574,""
"chr1",3359810,""
"chr1",3362395,""
"chr1",3366964,""
"chr1",3368740,""
"chr1",3369296,""
"chr1",3372960,""
"chr1",3373407,""
"chr1",3377858,""
"chr1",3381074,""
"chr1",3384243,""
"chr1",3386307,""
"chr1",3387772,""
"chr1",3388452,""
"chr1",3391470,""
"chr1",3396350,""
"chr1",3398032,""
"chr1",3401216,""
"chr1",3404235,""
"chr1",3412095,""
"chr1",3412820,""
"chr1",3417031,""
"chr1",3426240,""
"chr1",3432949,""
"chr1",3443123,""
"chr1",3451579,""
"chr1",3460878,""
"chr1",3463993,""
"chr1",3465134,""
"chr1",3483730,""
"chr1",3488732,""
"chr1",3490227,""
"chr1",3497433,""
"chr1",3506903,""
"chr1",3512044,""
"chr1",3524700,""
"chr1",3530249,""
"chr1",3534073,""
"chr1",3534441,""
"chr1",3538028,""
"chr1",3539193,""
"chr1",3540028,""
"chr1",3540307,""
"chr1",3547887,""
"chr1",3550149,""
"chr1",3556364,""
"chr1",3556781,""
"chr1",3558062,""
"chr1",3563585,""
"chr1",3566024,""
"chr1",3570562,""
"chr1",3574543,""
"chr1",3594069,""
"chr1",3594731,""
"chr1",3604307,"FAM138A"
"chr1",3626929,""
"chr1",3627782,""
"chr1",3630371,""
"chr1",3632633,""
"chr1",3641664,""
"chr1",3668207,"TP73"
"chr1",3668477,"TP73"
"chr1",3670941,"TP73"
"chr1",3675872,"TP73"
"chr1",3680453,"TP73"
"chr1",3684559,"TP73"
"chr1",3695328,"TP73"
"chr1",3700037,"TP73"
"chr1",3713912,"TP73"
"chr1",3716044,"TP73"
"chr1",3719417,"TP73"
"chr1",3719783,"TP73"
"chr1",3720895,"TP73"
"chr1",3741195,""
"chr1",3746281,""
"chr1",3755227,""
"chr1",3759513,""
"chr1",3761369,""
"chr1",3763211,""
"chr1",3764165,""
"chr1",3765267,""
"chr1",3767621,""
"chr1",3772844,""
"chr1",3775163,""
"chr1",3779972,""
"chr1",3780573,""
"chr1",3822948,""
"chr1",3826755,""
"chr1",3829360,""
"chr1",3831949,""
"chr1",3837249,""
"chr1",3848860,""
"chr1",3849877,""
"chr1",3856525,""
"chr1",3869681,""
"chr1",3873288,""
"chr1",3880384,""
"chr1",3883678,""
"chr1",3890824,""
"chr1",3892859,""
"chr1",3895246,""
"chr1",3904652,""
"chr1",3905218,""
"chr1",3936886,""
"chr1",3942772,""
"chr1",3944190,""
"chr1",3944985,""
"chr1",3946948,""
"chr1",3947050,""
"chr1",3947498,""
"chr1",3949011,""
"chr1",3949634,""
"chr1",3949733,""
"chr1",3949896,""
"chr1",3950683,""
"chr1",3952412,""
"chr1",3953894,""
"chr1",3954031,""
"chr1",3962405,""
"chr1",3974037,""
"chr1",3993375,""
"chr1",4001548,""
"chr1",4005288,""
"chr1",4020825,""
"chr1",4024244,""
"chr1",4029553,""
"chr1",4031590,""
"chr1",4044697,""
"chr1",4045079,""
"chr1",4051127,""
"chr1",4057494,""
"chr1",4059518,""
"chr1",4060251,""
"chr1",4061524,""
"chr1",4063039,""
"chr1",4070624,""
"chr1",4072162,""
"chr1",4085555,""
"chr1",4086309,""
"chr1",4092655,""
"chr1",4092868,""
"chr1",4093027,""
"chr1",4109988,""
"chr1",4110189,""
"chr1",4114056,""
"chr1",4117838,""
"chr1",4120782,""
"chr1",4134652,""
"chr1",4137582,""
"chr1",4140109,""
"chr1",4140777,""
"chr1",4141289,""
"chr1",4141755,""
"chr1",4146150,""
"chr1",4147465,""
"chr1",4153971,""
"chr1",4156105,""
"chr1",4156802,""
"chr1",4167404,""
"chr1",4170403,""
"chr1",4171141,""
"chr1",4178968,""
"chr1",4200358,""
"chr1",4203459,""
"chr1",4211466,""
"chr1",4221398,""
"chr1",4222726,""
"chr1",4233832,""
"chr1",4233940,""
"chr1",4235244,""
"chr1",4239667,""
"chr1",4240746,""
"chr1",4261407,""
"chr1",4263042,""
"chr1",4268416,""
"chr1",4281457,""
"chr1",4281783,""
"chr1",4283888,""
"chr1",4299106,""
"chr1",4306830,""
"chr1",4310014,""
"chr1",4310429,""
"chr1",4312932,""
"chr1",4315799,""
"chr1",4316756,""
"chr1",4319627,""
"chr1",4321193,""
"chr1",4324713,""
"chr1",4329202,""
"chr1",4337468,""
"chr1",4337955,""
"chr1",4341390,""
"chr1",4341503,""
"chr1",4344284,""
"chr1",4344354,""
"chr1",4345938,""
"chr1",4349436,""
"chr1",4351791,""
"chr1",4358104,""
"chr1",4359394,""
"chr1",4360449,""
"chr1",4364085,""
"chr1",4365354,""
"chr1",4366025,""
"chr1",4380538,""
"chr1",4381029,""
"chr1",4384479,""
"chr1",4386936,""
"chr1",4395636,""
"chr1",4396073,""
"chr1",4398662,""
"chr1",4401194,""
"chr1",4408687,""
"chr1",4411314,""
"chr1",4413942,""
"chr1",4421155,""
"chr1",4426462,""
"chr1",4429338,""
"chr1",4429469,""
"chr1",4431400,""
"chr1",4432920,""
"chr1",4435227,""
"chr1",4436196,""
"chr1",4436599,""
"chr1",4441851,""
"chr1",4444867,""
"chr1",4445452,""
"chr1",4450780,""
"chr1",4453834,""
"chr1",4454393,""
"chr1",4465544,""
"chr1",4473572,""
"chr1",4474261,""
"chr1",4474290,""
"chr1",4475088,""
"chr1",4476616,""
"chr1",4480735,""
"chr1",4481330,""
"chr1",4483603,""
"chr1",4484118,""
"chr1",4484733,""
"chr1",4488028,""
"chr1",4489873,""
"chr1",4492742,""
"chr1",4494154,""
"chr1",4500345,""
"chr1",4501902,""
"chr1",4502290,""
"chr1",4502416,""
"chr1",4503069,""
"chr1",4504624,""
"chr1",4509487,""
"chr1",4510922,""
"chr1",4512718,""
"chr1",4518435,""
"chr1",4521170,""
"chr1",4521278,""
"chr1",4526546,""
"chr1",4527117,""
"chr1",4527459,""
"chr1",4532056,""
"chr1",4538213,""
"chr1",4546411,""
"chr1",4551375,""
"chr1",4554953,""
"chr1",4558191,""
"chr1",4558219,""
"chr1",4560230,""
"chr1",4560863,""
"chr1",4560936,""
"chr1",4561615,""
"chr1",4565636,""
"chr1",4567017,""
"chr1",4572468,""
"chr1",4574918,""
"chr1",4580842,""
"chr1",4583372,""
"chr1",4588720,""
"chr1",4589256,""
"chr1",4593705,""
"chr1",4598478,""
"chr1",4602472,""
"chr1",4608610,""
"chr1",4613877,""
"chr1",4624245,""
"chr1",4630833,""
"chr1",4634538,""
"chr1",4636032,""
"chr1",4638499,""
"chr1",4641198,""
"chr1",4644895,""
"chr1",4648102,""
"chr1",4657331,""
"chr1",4662986,""
"chr1",4663758,""
"chr1",4664897,""
"chr1",4665436,""
"chr1",4667026,""
"chr1",4671057,""
"chr1",4671868,""
"chr1",4672413,""
"chr1",4677471,""
"chr1",4677998,""
"chr1",4678618,""
"chr1",4679258,""
"chr1",4683644,""
"chr1",4684146,""
"chr1",4687677,""
"chr1",4688245,""
"chr1",4690970,""
"chr1",4696216,""
"chr1",4709765,""
"chr1",4721091,""
"chr1",4724496,""
"chr1",4724824,""
"chr1",4729119,""
"chr1",4739140,""
"chr1",4744282,""
"chr1",4754340,""
"chr1",4764251,""
"chr1",4764682,""
"chr1",4765092,""
"chr1",4773438,""
"chr1",4778181,""
"chr1",4784316,""
"chr1",4787534,""
"chr1",4791243,""
"chr1",4792847,""
"chr1",4807790,""
"chr1",4825626,""
"chr1",4827850,""
"chr1",4827952,""
"chr1",4831676,""
"chr1",4834740,""
"chr1",4846723,""
"chr1",4852666,""
"chr1",4892728,""
"chr1",4894715,""
"chr1",4895802,""
"chr1",4900851,""
"chr1",4905092,""
"chr1",4905571,""
"chr1",4909690,""
"chr1",4909882,""
"chr1",4913047,""
"chr1",4913241,""
"chr1",4915357,""
"chr1",4915505,""
"chr1",4920632,""
"chr1",4921047,""
"chr1",4921443,""
"chr1",4921547,""
"chr1",4923738,""
"chr1",4923965,""
"chr1",4925077,""
"chr1",4927364,""
"chr1",4928202,""
"chr1",4928246,""
"chr1",4932144,""
"chr1",4934392,""
"chr1",4936125,""
"chr1",4936166,""
"chr1",4936712,""
"chr1",4937303,""
"chr1",4940026,""
"chr1",4941428,""
"chr1",4941993,""
"chr1",4950082,""
"chr1",4952295,""
"chr1",4957592,""
"chr1",4959493,""
"chr1",4963261,""
"chr1",4965000,""
"chr1",4967419,""
"chr1",4971319,""
"chr1",4975877,""
"chr1",4976174,""
"chr1",4977752,""
"chr1",4979033,""
"chr1",4987103,""
"chr1",4991172,""
"chr1",4991650,""
"chr1",4994290,""
"chr1",5006145,""
"chr1",5008150,""
"chr1",5017492,""
"chr1",5018289,""
"chr1",5028002,""
"chr1",5028934,""
"chr1",5030937,""
"chr1",5040631,""
"chr1",5040823,""
"chr1",5043977,""
"chr1",5053851,""
"chr1",5054042,""
"chr1",5057355,""
"chr1",5080166,""
"chr1",5085006,""
"chr1",5091185,""
"chr1",5096185,""
"chr1",5108603,""
"chr1",5109244,""
"chr1",5110652,""
"chr1",5126187,""
"chr1",5129582,""
"chr1",5134144,""
"chr1",5135191,""
"chr1",5135311,""
"chr1",5136679,""
"chr1",5139868,""
"chr1",5140449,""
"chr1",5144104,""
"chr1",5150064,""
"chr1",5157584,""
"chr1",5158541,""
"chr1",5165092,""
"chr1",5171110,""
"chr1",5173224,""
"chr1",5176050,""
"chr1",5180151,""
"chr1",5183788,""
"chr1",5186566,""
"chr1",5186781,""
"chr1",5187022,""
"chr1",5187295,""
"chr1",5191509,""
"chr1",5199035,""
"chr1",5202841,""
"chr1",5209180,""
"chr1",5210217,""
"chr1",5217379,""
"chr1",5220442,""
"chr1",5221057,""
"chr1",5222666,""
"chr1",5223882,""
"chr1",5223963,""
"chr1",5225223,""
"chr1",5227048,""
"chr1",5236784,""
"chr1",5238430,"ORC1"
"chr1",5247016,"TUT4"
"chr1",5248485,"TUT4"
"chr1",5249195,"TUT4"
"chr1",5249607,"TUT4"
"chr1",5252105,"TUT4"
"chr1",5252248,"TUT4"
"chr1",5253385,"TUT4"
"chr1",5254677,"TUT4"
"chr1",5261079,"OR4G4P"
"chr1",5273280,"OR4G4P"
"chr1",5273324,"OR4G4P"
"chr1",5274831,"OR4G4P"
"chr1",5275539,"OR4G4P"
"chr1",5277784,"OR4G4P"
"chr1",5281172,"OR4G4P"
"chr1",5281404,"OR4G4P"
"chr1",5283496,"OR4G4P"
"chr1",5286414,"OR4G4P"
"chr1",5289556,"OR4G4P"
"chr1",5293834,"OR4G4P"
"chr1",5294304,"OR4G4P"
"chr1",5294784,"OR4G4P"
"chr1",5302285,"OR4G4P"
"chr1",5318356,"OR4G4P"
"chr1",5319564,"OR4G4P"
"chr1",5330412,"OR4G4P"
"chr1",5335350,""
"chr1",5355824,"GLIS1"
"chr1",5361737,"GLIS1"
"chr1",5364314,"GLIS1"
"chr1",5365049,"GLIS1"
"chr1",5411457,NA
"chr1",5422326,"MRPL37"
"chr1",5425117,"SSBP3"
"chr1",5429807,"SSBP3"
"chr1",5431441,"SSBP3"
"chr1",5431983,"SSBP3"
"chr1",5444493,NA
"chr1",5451933,NA
"chr1",5454134,NA
"chr1",5461994,"ACOT11"
"chr1",5468457,"MROH7"
"chr1",5482609,""
"chr1",5485336,""
"chr1",5485392,""
"chr1",5488452,""
"chr1",5489465,""
"chr1",5491173,""
"chr1",5501352,"BSND"
"chr1",5502048,NA
"chr1",5505057,"PCSK9"
"chr1",5506234,"PCSK9"
"chr1",5509431,"USP24"
"chr1",5512244,"USP24"
"chr1",5543790,""
"chr1",5546410,""
"chr1",5556770,""
"chr1",5557013,""
"chr1",5563623,""
"chr1",5564469,""
"chr1",5565428,""
"chr1",5565506,""
"chr1",5567226,""
"chr1",5567852,""
"chr1",5575256,""
"chr1",5581522,""
"chr1",5582451,""
"chr1",5598207,""
"chr1",5598359,""
"chr1",5599527,""
"chr1",5611726,""
"chr1",5614984,""
"chr1",5619381,""
"chr1",5619748,""
"chr1",5620512,""
"chr1",5623447,""
"chr1",5624241,""
"chr1",5624728,""
"chr1",5631727,""
"chr1",5632668,""
"chr1",5634150,""
"chr1",5636365,""
"chr1",5639415,""
"chr1",5641263,""
"chr1",5643492,""
"chr1",5647102,""
"chr1",5647878,""
"chr1",5649773,""
"chr1",5657161,""
"chr1",5657328,""
"chr1",5657888,""
"chr1",5658689,""
"chr1",5663205,""
"chr1",5663583,""
"chr1",5664880,""
"chr1",5673237,"FYB2"
"chr1",5673953,"FYB2"
"chr1",5683449,NA
"chr1",5684861,NA
"chr1",5684903,NA
"chr1",5687313,"C8A"
"chr1",5688551,"C8A"
"chr1",5689023,"C8A"
"chr1",5698712,""
"chr1",5700969,"DAB1"
"chr1",5704819,"DAB1"
"chr1",5717860,"DAB1"
"chr1",5725512,"DAB1"
"chr1",5730438,"DAB1"
"chr1",5730595,"DAB1"
"chr1",5734518,"DAB1"
"chr1",5740844,"DAB1"
"chr1",5751064,"DAB1"
"chr1",5754075,"DAB1"
"chr1",5763309,"DAB1"
"chr1",5765339,"DAB1"
"chr1",5768979,"DAB1"
"chr1",5771541,"DAB1"
"chr1",5776257,"DAB1"
"chr1",5786347,"DAB1"
"chr1",5840735,"DAB1"
"chr1",5841963,"DAB1"
"chr1",5860982,""
"chr1",5862774,""
"chr1",5864686,""
"chr1",5865311,""
"chr1",5865741,""
"chr1",5865895,""
"chr1",5874176,""
"chr1",5898349,""
"chr1",5905119,""
"chr1",5921984,""
"chr1",5923054,""
"chr1",5940069,""
"chr1",5946512,""
"chr1",5954384,""
"chr1",5983749,""
"chr1",5986204,""
"chr1",5993570,""
"chr1",6003595,""
"chr1",6010810,""
"chr1",6019332,""
"chr1",6028304,""
"chr1",6048317,""
"chr1",6057111,""
"chr1",6069775,""
"chr1",6081265,""
"chr1",6089062,""
"chr1",6110293,""
"chr1",6110928,""
"chr1",6115429,""
"chr1",6127026,""
"chr1",6127078,""
"chr1",6130155,""
"chr1",6133958,""
"chr1",6136809,""
"chr1",6142185,""
"chr1",6144101,""
"chr1",6144782,""
"chr1",6152810,""
"chr1",6161915,""
"chr1",6162823,""
"chr1",6173513,""
"chr1",6185755,""
"chr1",6192383,""
"chr1",6198087,""
"chr1",6207251,""
"chr1",6208311,""
"chr1",6221317,""
"chr1",6224620,""
"chr1",6231750,""
"chr1",6244852,""
"chr1",6269955,""
"chr1",6285074,""
"chr1",6307159,""
"chr1",6313414,""
"chr1",6319547,""
"chr1",6327724,""
"chr1",6337312,""
"chr1",6342960,""
"chr1",6350964,""
"chr1",6351154,""
"chr1",6396412,""
"chr1",6401470,""
"chr1",6413234,""
"chr1",6421563,""
"chr1",6434339,""
"chr1",6434683,""
"chr1",6460252,""
"chr1",6463370,""
"chr1",6464441,""
"chr1",6470129,""
"chr1",6490316,""
"chr1",6500303,""
"chr1",6512115,""
"chr1",6517705,""
"chr1",6533472,""
"chr1",6546548,""
"chr1",6554170,""
"chr1",6572891,""
"chr1",6578004,""
"chr1",6579787,""
"chr1",6591033,""
"chr1",6591668,""
"chr1",6601672,""
"chr1",6602853,""
"chr1",6612669,""
"chr1",6619788,""
"chr1",6623180,""
"chr1",6642091,""
"chr1",6645884,""
"chr1",6649550,""
"chr1",6652712,""
"chr1",6653054,""
"chr1",6655330,""
"chr1",6660930,""
"chr1",6663746,""
"chr1",6665367,""
"chr1",6669689,""
"chr1",6684649,""
"chr1",6690053,""
"chr1",6695942,""
"chr1",6696374,""
"chr1",6711509,""
"chr1",6711547,""
"chr1",6721511,""
"chr1",6724532,""
"chr1",6725379,""
"chr1",6726521,""
"chr1",6730175,""
"chr1",6735964,""
"chr1",6754698,""
"chr1",6756629,""
"chr1",6766407,""
"chr1",6768230,""
"chr1",6778349,""
"chr1",6786703,""
"chr1",6813872,""
"chr1",6822129,""
"chr1",6822926,""
"chr1",6824188,""
"chr1",6826248,""
"chr1",6843539,""
"chr1",6856150,""
"chr1",6861518,""
"chr1",6863666,""
"chr1",6869700,""
"chr1",6876315,""
"chr1",6877711,""
"chr1",6884744,""
"chr1",6893615,""
"chr1",6895273,""
"chr1",6896135,""
"chr1",6916166,""
"chr1",6918562,""
"chr1",6918563,""
"chr1",6925009,""
"chr1",6931865,""
"chr1",6935158,""
"chr1",6954384,""
"chr1",6956049,""
"chr1",6969754,""
"chr1",6976742,""
"chr1",6981115,""
"chr1",6988719,""
"chr1",6994964,""
"chr1",6998390,""
"chr1",7001370,""
"chr1",7002824,""
"chr1",7008612,""
"chr1",7018304,""
"chr1",7019197,""
"chr1",7019702,""
"chr1",7023659,""
"chr1",7027679,""
"chr1",7028201,""
"chr1",7028795,""
"chr1",7030156,""
"chr1",7036212,""
"chr1",7038747,""
"chr1",7045019,""
"chr1",7050450,""
"chr1",7053973,""
"chr1",7061337,""
"chr1",7065353,""
"chr1",7065522,""
"chr1",7067365,""
"chr1",7067996,""
"chr1",7069237,""
"chr1",7070024,""
"chr1",7071132,""
"chr1",7081144,""
"chr1",7084531,""
"chr1",7088395,""
"chr1",7090517,""
"chr1",7091605,""
"chr1",7091978,""
"chr1",7098501,""
"chr1",7106971,""
"chr1",7109719,""
"chr1",7110659,""
"chr1",7113835,""
"chr1",7117753,""
"chr1",7119419,""
"chr1",7119801,""
"chr1",7136599,""
"chr1",7145890,""
"chr1",7154314,""
"chr1",7171424,""
"chr1",7180396,""
"chr1",7181463,""
"chr1",7185609,""
"chr1",7193826,""
"chr1",7196883,""
"chr1",7229230,""
"chr1",7236196,""
"chr1",7252198,""
"chr1",7254134,""
"chr1",7264263,""
"chr1",7264408,""
"chr1",7264443,""
"chr1",7264487,""
"chr1",7264899,""
"chr1",7278753,""
"chr1",7292914,""
"chr1",7294057,""
"chr1",7296613,""
"chr1",7301278,""
"chr1",7302932,""
"chr1",7303250,""
"chr1",7303439,""
"chr1",7315198,""
"chr1",7315335,""
"chr1",7320687,""
"chr1",7332534,""
"chr1",7335972,""
"chr1",7345233,""
"chr1",7350122,""
"chr1",7370333,""
"chr1",7389911,""
"chr1",7409191,""
"chr1",7409720,""
"chr1",7418016,""
"chr1",7419994,""
"chr1",7420230,""
"chr1",7422145,""
"chr1",7422903,""
"chr1",7425246,""
"chr1",7426257,""
"chr1",7427270,""
"chr1",7432205,""
"chr1",7432931,""
"chr1",7440526,""
"chr1",7440977,""
"chr1",7441382,""
"chr1",7444677,""
"chr1",7447582,""
"chr1",7458453,""
"chr1",7458581,""
"chr1",7458638,""
"chr1",7460069,""
"chr1",7460541,""
"chr1",7460867,""
"chr1",7461419,""
"chr1",7463404,""
"chr1",7463720,""
"chr1",7463846,""
"chr1",7467248,""
"chr1",7471278,""
"chr1",7474404,""
"chr1",7477338,""
"chr1",7478377,""
"chr1",7480710,""
"chr1",7487152,""
"chr1",7489428,""
"chr1",7491395,""
"chr1",7492559,""
"chr1",7497092,""
"chr1",7501238,""
"chr1",7506977,""
"chr1",7507352,""
"chr1",7508922,""
"chr1",7511936,""
"chr1",7512202,""
"chr1",7515606,""
"chr1",7531513,""
"chr1",7538034,""
"chr1",7540845,""
"chr1",7551546,""
"chr1",7556533,""
"chr1",7557424,""
"chr1",7561529,""
"chr1",7564795,""
"chr1",7566935,""
"chr1",7574627,""
"chr1",7577919,""
"chr1",7579248,""
"chr1",7584742,""
"chr1",7586241,""
"chr1",7589655,""
"chr1",7608286,""
"chr1",7609953,""
"chr1",7610514,""
"chr1",7622429,""
"chr1",7623970,""
"chr1",7626134,""
"chr1",7650248,""
"chr1",7662441,""
"chr1",7662798,""
"chr1",7667794,""
"chr1",7671670,""
"chr1",7675890,""
"chr1",7692768,""
"chr1",7720068,""
"chr1",7724842,""
"chr1",7732351,""
"chr1",7741228,""
"chr1",7763025,""
"chr1",7765251,""
"chr1",7769047,""
"chr1",7790158,""
"chr1",7792859,""
"chr1",7796286,""
"chr1",7801624,""
"chr1",7812016,""
"chr1",7819567,""
"chr1",7820623,""
"chr1",7821720,""
"chr1",7837073,""
"chr1",7837168,""
"chr1",7851039,""
"chr1",7861892,""
"chr1",7864034,""
"chr1",7884204,""
"chr1",7895834,""
"chr1",7939542,""
"chr1",7947656,""
"chr1",7955500,""
"chr1",7964532,""
"chr1",7974832,""
"chr1",7986487,""
"chr1",7986612,""
"chr1",8034140,""
"chr1",8035440,""
"chr1",8038402,""
"chr1",8051779,""
"chr1",8071697,""
"chr1",8073292,""
"chr1",8085234,""
"chr1",8087097,""
"chr1",8091164,""
"chr1",8117504,""
"chr1",8118667,""
"chr1",8120150,""
"chr1",8127151,""
"chr1",8132838,""
"chr1",8139203,""
"chr1",8140268,""
"chr1",8162096,""
"chr1",8202453,""
"chr1",8208035,""
"chr1",8213332,""
"chr1",8213958,""
"chr1",8214747,""
"chr1",8214851,""
